timestamp,node_id,location_name,location_type,building,floor,pm2_5,pm10,co2,co,no2,voc,temperature_c,humidity_pct,occupancy_count
2025-06-02 00:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,17.75,24.03,420.0,0.39,10.4,60.0,25.59,83.3,0
2025-06-02 01:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,17.59,23.52,423.2,0.388,10.96,67.3,25.26,82.2,0
2025-06-02 02:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,15.97,22.39,420.6,0.677,11.67,64.5,25.04,83.0,0
2025-06-02 03:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,15.48,20.97,426.0,0.661,12.3,62.6,24.94,82.2,0
2025-06-02 04:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,17.71,24.49,425.4,0.641,10.78,73.8,25.15,80.7,0
2025-06-02 05:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.88,28.96,422.1,0.677,11.12,58.7,25.26,80.8,0
2025-06-02 06:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.68,30.31,426.3,1.094,13.17,61.0,25.76,82.4,0
2025-06-02 07:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,19.48,28.67,424.3,0.787,11.57,66.2,26.08,81.3,0
2025-06-02 08:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,23.86,35.27,517.8,0.861,12.3,78.5,26.72,79.7,14
2025-06-02 09:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,22.89,32.48,649.0,0.786,10.93,69.4,27.28,80.7,22
2025-06-02 10:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,25.34,36.35,792.7,0.364,9.85,55.0,27.8,79.7,29
2025-06-02 11:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.54,36.18,901.4,0.296,10.11,54.3,28.39,81.2,34
2025-06-02 12:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.55,32.16,1005.9,0.106,9.71,47.6,28.61,79.4,37
2025-06-02 13:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,17.59,27.42,1095.0,0.263,9.48,81.2,28.77,80.8,39
2025-06-02 14:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,17.73,29.16,1164.0,0.1,11.71,45.7,28.9,80.3,40
2025-06-02 15:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,22.71,30.23,1202.3,0.321,10.85,52.8,28.71,81.4,39
2025-06-02 16:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.86,29.12,1220.3,0.315,10.35,70.2,28.54,81.8,37
2025-06-02 17:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,25.01,32.77,1211.9,0.72,13.6,81.7,28.52,79.9,34
2025-06-02 18:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,25.22,31.58,1182.6,0.768,15.01,63.4,28.47,83.9,29
2025-06-02 19:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,25.34,35.38,1120.0,0.424,11.5,69.0,28.05,83.5,22
2025-06-02 20:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,22.4,31.47,1058.4,0.352,12.5,80.1,27.55,81.2,14
2025-06-02 21:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.39,32.99,944.0,0.274,10.89,74.7,27.01,82.9,0
2025-06-02 22:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,23.16,32.29,851.5,0.405,10.8,65.3,26.73,82.4,0
2025-06-02 23:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.19,29.11,769.0,0.466,9.21,75.3,26.35,84.3,0
2025-06-03 00:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,19.05,25.98,701.0,0.244,11.23,77.9,25.9,81.8,0
2025-06-03 01:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,19.59,24.24,647.6,0.442,11.74,82.2,25.25,81.6,0
2025-06-03 02:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.55,29.27,623.0,0.26,9.86,37.7,25.02,84.9,0
2025-06-03 03:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.34,28.27,576.6,0.459,12.43,73.1,24.99,84.4,0
2025-06-03 04:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,22.13,30.41,534.7,0.358,10.73,49.0,25.17,83.5,0
2025-06-03 05:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.88,26.76,518.6,0.669,10.97,69.5,25.44,84.5,0
2025-06-03 06:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,19.31,24.95,493.9,0.642,11.31,71.4,25.77,86.2,0
2025-06-03 07:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.45,27.59,478.0,0.754,11.77,83.2,26.22,85.3,0
2025-06-03 08:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.79,31.91,574.3,0.603,13.02,67.6,26.74,83.9,14
2025-06-03 09:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.14,27.31,690.2,0.497,10.04,65.5,27.09,82.6,22
2025-06-03 10:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.23,31.4,810.8,0.476,9.79,74.2,27.46,79.7,29
2025-06-03 11:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,22.29,28.28,918.1,0.376,10.92,35.4,28.3,79.5,34
2025-06-03 12:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.02,25.3,1022.9,0.494,11.05,48.9,28.41,78.3,37
2025-06-03 13:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.97,26.34,1105.9,0.608,11.06,67.3,28.89,78.6,39
2025-06-03 14:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.0,26.79,1178.1,0.539,10.35,59.7,29.18,77.6,40
2025-06-03 15:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.83,28.5,1221.3,0.702,8.02,53.9,29.1,79.1,39
2025-06-03 16:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,23.42,32.53,1229.8,0.431,9.24,71.7,28.64,76.1,37
2025-06-03 17:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.54,32.18,1215.6,0.719,11.88,64.8,28.87,77.6,34
2025-06-03 18:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,25.87,33.59,1185.4,0.832,12.05,53.7,28.6,79.1,29
2025-06-03 19:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,23.07,33.06,1130.7,0.703,10.95,81.5,28.14,80.0,22
2025-06-03 20:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,24.77,33.34,1063.1,0.594,10.62,63.5,27.56,81.1,14
2025-06-03 21:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,21.96,29.67,946.8,0.775,8.96,71.0,26.87,81.8,0
2025-06-03 22:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,23.27,31.86,850.6,0.514,8.67,62.3,26.21,84.4,0
2025-06-03 23:00:00,N01,Room 301 (Classroom),Indoor,Main Bldg,3,20.64,27.91,774.9,0.689,8.43,66.8,25.86,83.5,0
